name,rarity,attunementRequired,cursed,sentient,weight,baseItem,itemType,conditionImmunities,damageImmunities,damageResistances,firearm,range,weapon,weaponBonus,weaponCategory,weaponProperty,damage1,damage1Type,damage2,grantsProficiency,armor,armorClassBonus,armorClassFixed,requiredStrength,stealth,poison,tattoo,savingThrowBonus,spellAttackBonus,spellSaveDCBonus,charges,recharge,attachedSpells
Antimatter Rifle,none,0,0,0,10.0,,R,,,,1,120/360,1,0,martial,"AF,RLD,2H",6D8,N,6D8,0,0,0,,0,0,0,0,0,0,0,0,,
Arrow,none,0,0,0,5.0e-2,,A,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Arrows (20),none,0,0,0,1.0,,A,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Automatic Pistol,none,0,0,0,3.0,,R,,,,1,50/150,1,0,martial,"AF,RLD",2D6,P,2D6,0,0,0,,0,0,0,0,0,0,0,0,,
Automatic Rifle,none,0,0,0,8.0,,R,,,,1,80/240,1,0,martial,"AF,BF,RLD,2H",2D8,P,2D8,0,0,0,,0,0,0,0,0,0,0,0,,
Battleaxe,none,0,0,0,4.0,,M,,,,0,,1,0,martial,V,1D8,S,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Blowgun,none,0,0,0,1.0,,R,,,,0,25/100,1,0,martial,"A,LD",1,P,1,0,0,0,,0,0,0,0,0,0,0,0,,
Blowgun Needle,none,0,0,0,2.0e-2,,A,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Blowgun Needles (50),none,0,0,0,1.0,,A,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Breastplate,none,0,0,0,20.0,,MA,,,,0,,0,0,,,0,,0,0,1,0,14,0,0,0,0,0,0,0,0,,
Chain Mail,none,0,0,0,55.0,,HA,,,,0,,0,0,,,0,,0,0,1,0,16,13,1,0,0,0,0,0,0,,
Chain Shirt,none,0,0,0,20.0,,MA,,,,0,,0,0,,,0,,0,0,1,0,13,0,0,0,0,0,0,0,0,,
Club,none,0,0,0,2.0,,M,,,,0,,1,0,simple,L,1D4,B,1D4,0,0,0,,0,0,0,0,0,0,0,0,,
Crossbow Bolt,none,0,0,0,7.5e-2,,A,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Crossbow Bolts (20),none,0,0,0,1.5,,A,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Crystal,none,0,0,0,1.0,,SCF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Dagger,none,0,0,0,1.0,,M,,,,0,20/60,1,0,simple,"F,L,T",1D4,P,1D4,0,0,0,,0,0,0,0,0,0,0,0,,
Dart,none,0,0,0,0.25,,R,,,,0,20/60,1,0,simple,"F,T",1D4,P,1D4,0,0,0,,0,0,0,0,0,0,0,0,,
Double-Bladed Scimitar,none,0,0,0,6.0,,M,,,,0,,1,0,martial,"S,2H",2D4,S,2D4,0,0,0,,0,0,0,0,0,0,0,0,,
Energy Cell,none,0,0,0,0.3125,,AF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Flail,none,0,0,0,2.0,,M,,,,0,,1,0,martial,,1D8,B,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Glaive,none,0,0,0,6.0,,M,,,,0,,1,0,martial,"H,R,2H",1D10,S,1D10,0,0,0,,0,0,0,0,0,0,0,0,,
Greataxe,none,0,0,0,7.0,,M,,,,0,,1,0,martial,"H,2H",1D12,S,1D12,0,0,0,,0,0,0,0,0,0,0,0,,
Greatclub,none,0,0,0,10.0,,M,,,,0,,1,0,simple,2H,1D8,B,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Greatsword,none,0,0,0,6.0,,M,,,,0,,1,0,martial,"H,2H",2D6,S,2D6,0,0,0,,0,0,0,0,0,0,0,0,,
Halberd,none,0,0,0,6.0,,M,,,,0,,1,0,martial,"H,R,2H",1D10,S,1D10,0,0,0,,0,0,0,0,0,0,0,0,,
Half Plate Armor,none,0,0,0,40.0,,MA,,,,0,,0,0,,,0,,0,0,1,0,15,0,1,0,0,0,0,0,0,,
Hand Crossbow,none,0,0,0,3.0,,R,,,,0,30/120,1,0,martial,"A,L,LD",1D6,P,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Handaxe,none,0,0,0,2.0,,M,,,,0,20/60,1,0,simple,"L,T",1D6,S,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Heavy Crossbow,none,0,0,0,18.0,,R,,,,0,100/400,1,0,martial,"A,H,LD,2H",1D10,P,1D10,0,0,0,,0,0,0,0,0,0,0,0,,
Hide Armor,none,0,0,0,12.0,,MA,,,,0,,0,0,,,0,,0,0,1,0,12,0,0,0,0,0,0,0,0,,
Hooked Shortspear,unknown,0,0,0,2.0,,M,,,,0,,1,0,martial,L,1D4,P,1D4,0,0,0,,0,0,0,0,0,0,0,0,,
Hunting Rifle,none,0,0,0,8.0,,R,,,,1,80/240,1,0,martial,"AF,RLD,2H",2D10,P,2D10,0,0,0,,0,0,0,0,0,0,0,0,,
Javelin,none,0,0,0,2.0,,M,,,,0,30/120,1,0,simple,T,1D6,P,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Lance,none,0,0,0,6.0,,M,,,,0,,1,0,martial,"R,S",1D12,P,1D12,0,0,0,,0,0,0,0,0,0,0,0,,
Laser Pistol,none,0,0,0,2.0,,R,,,,1,30/120,1,0,martial,"AF,RLD",3D6,R,3D6,0,0,0,,0,0,0,0,0,0,0,0,,
Laser Rifle,none,0,0,0,7.0,,R,,,,1,100/300,1,0,martial,"AF,RLD,2H",3D8,R,3D8,0,0,0,,0,0,0,0,0,0,0,0,,
Leather Armor,none,0,0,0,10.0,,LA,,,,0,,0,0,,,0,,0,0,1,0,11,0,0,0,0,0,0,0,0,,
Light Crossbow,none,0,0,0,5.0,,R,,,,0,80/320,1,0,simple,"A,LD,2H",1D8,P,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Light Hammer,none,0,0,0,2.0,,M,,,,0,20/60,1,0,simple,"L,T",1D4,B,1D4,0,0,0,,0,0,0,0,0,0,0,0,,
Light Repeating Crossbow,unknown,0,0,0,5.0,,R,,,,0,40/160,1,0,simple,"A,2H",1D8,P,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Longbow,none,0,0,0,2.0,,R,,,,0,150/600,1,0,martial,"A,H,2H",1D8,P,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Longsword,none,0,0,0,3.0,,M,,,,0,,1,0,martial,V,1D8,S,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Mace,none,0,0,0,4.0,,M,,,,0,,1,0,simple,,1D6,B,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Maul,none,0,0,0,10.0,,M,,,,0,,1,0,martial,"H,2H",2D6,B,2D6,0,0,0,,0,0,0,0,0,0,0,0,,
Modern Bullet,none,0,0,0,0.1,,AF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Modern Bullets (10),none,0,0,0,1.0,,AF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Morningstar,none,0,0,0,4.0,,M,,,,0,,1,0,martial,,1D8,P,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Musket,none,0,0,0,10.0,,R,,,,1,40/120,1,0,martial,"AF,LD,2H",1D12,P,1D12,0,0,0,,0,0,0,0,0,0,0,0,,
Net,none,0,0,0,3.0,,R,,,,0,5/15,1,0,martial,"S,T",0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Orb,none,0,0,0,3.0,,SCF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Padded Armor,none,0,0,0,8.0,,LA,,,,0,,0,0,,,0,,0,0,1,0,11,0,1,0,0,0,0,0,0,,
Pike,none,0,0,0,18.0,,M,,,,0,,1,0,martial,"H,R,2H",1D10,P,1D10,0,0,0,,0,0,0,0,0,0,0,0,,
Pistol,none,0,0,0,3.0,,R,,,,1,30/90,1,0,martial,"AF,LD",1D10,P,1D10,0,0,0,,0,0,0,0,0,0,0,0,,
Plate Armor,none,0,0,0,65.0,,HA,,,,0,,0,0,,,0,,0,0,1,0,18,15,1,0,0,0,0,0,0,,
Quarterstaff,none,0,0,0,4.0,,M,,,,0,,1,0,simple,V,1D6,B,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Rapier,none,0,0,0,2.0,,M,,,,0,,1,0,martial,F,1D8,P,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Renaissance Bullet,none,0,0,0,0.2,,AF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Renaissance Bullets (10),none,0,0,0,2.0,,AF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Revolver,none,0,0,0,3.0,,R,,,,1,40/120,1,0,martial,"AF,RLD",2D8,P,2D8,0,0,0,,0,0,0,0,0,0,0,0,,
Ring Mail,none,0,0,0,40.0,,HA,,,,0,,0,0,,,0,,0,0,1,0,14,0,1,0,0,0,0,0,0,,
Rod,none,0,0,0,2.0,,SCF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Scale Mail,none,0,0,0,45.0,,MA,,,,0,,0,0,,,0,,0,0,1,0,14,0,1,0,0,0,0,0,0,,
Scimitar,none,0,0,0,3.0,,M,,,,0,,1,0,martial,"F,L",1D6,S,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Shield,none,0,0,0,6.0,,S,,,,0,,0,0,,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,,
Shortbow,none,0,0,0,2.0,,R,,,,0,80/320,1,0,simple,"A,2H",1D6,P,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
